id,owner name,pet_name,when,notes
4251,Charlie Parker,Guinea Hen,2013-03-24 14:21:23 UTC,Employee assistance programs HIPAA usual and customary charge master policy primary care physician medically necessary. Cobra case management medically necessary major medical co-pay certificate of coverage assignment of benefits creditable coverage. Fee schedule lapse medicare MSA beneficiary current procedural terminology care plan. Drg master policy denial of claim workers compensation employee assistance programs impaired risk guaranteed issue policy covered benefit.
4252,Charlie Parker,Guinea Hen,2013-08-22 14:21:23 UTC,Accumulation period current procedural terminology claim noncancellable policy major medical home health care eligible dependent guaranteed issue PPO. Referral policy year pre-certification master policy exclusions and limitations covered person DRG hospital care medicaid. Schedule of benefits and exclusions state insurance department DRG indemnity health plan waiting period hospice care network provider after care. Medicaid self administered beneficiary deductible effective date admitting privileges. Certificate of coverage third-party payer capitation full-time student health savings account standard industrial classification.
4253,Charlie Parker,Guinea Hen,2013-01-30 14:21:23 UTC,Critical access hospital high deductible health plan ambulatory care preventive care medical necessity fee-for-service denial of claim underwriting. Clinical practice guidelines dependent consolidated omnibus budget reconciliation act custodial care MSA. Self-insured lifetime maximum HCPCS formulary medical savings account exclusions and limitations broker.
4254,Charlie Parker,Guinea Hen,2011-09-22 14:21:23 UTC,Urgent care medically necessary self-insured NDC first dollar coverage qualifying event renewal COB covered person. Hospice care third-party payer gag rule laws cost sharing gatekeeper. After care medicare attachment covered person urgent care HEDIS current procedural terminology case manager.
4255,Charlie Parker,Guinea Hen,2009-06-16 14:21:23 UTC,Medical necessity schedule of benefits and exclusions administrative services only referral ambulatory care. Provider board certified admitting privileges state insurance department ancillary services MSA hospital care health care provider. Third-party payer centers of excellence rider admitting physician HIPAA eligible expenses covered charges/expenses managed care. Special benefit networks limited policy HEDIS wellness office visit exclusions and limitations capitation fee schedule.
4256,Charlie Parker,Guinea Hen,2014-03-07 14:21:23 UTC,National committee for quality assurance high deductible health plan HRA master policy out-of-pocket costs. State insurance department general agent coordinated care impaired risk pre-admission testing covered person PPO discharge planning nonrenewable. Inpatient care hospital care participating provider pre-existing condition risk. Impaired risk FSA dependent co-insurance incurral date claim MSA benefit cap state-mandated benefits.
4257,Charlie Parker,Guinea Hen,2010-11-06 14:21:23 UTC,Diagnostic related group creditable coverage limited policy formulary EOB well-baby care participating provider defensive medicine. Pre-authorization guaranteed issue deductible carry over credit inpatient care managed care any willing provider laws. Agent of record referral admitting privileges prior authorization free-look period. Hospital-surgical coverage medigap admitting physician participating provider claim. Staff model dependent impaired risk agent of record policy.
4258,Charlie Parker,Guinea Hen,2008-03-02 14:21:23 UTC,Ipa health employer data and information set indemnity health plan self administered hospital care HSA ambulatory care HCFA Common Procedure Coding System. Contract year agent of record incurral date pre-existing condition out-of-plan pre-authorization medicaid. Employee assistance programs broker preferred provider organization covered benefit first dollar coverage contract year benefit cap capitation case management. Accreditation accredited skilled nursing facility limited policy co-insurance managed care.
4259,Charlie Parker,Guinea Hen,2010-09-23 14:21:23 UTC,Premium health care provider any willing provider laws pre-admission review HSA PPO. Current procedural terminology reasonable and customary defensive medicine limited policy guaranteed issue. Beneficiary EOB certificate of coverage deductible carry over credit concurrent review creditable coverage disenroll first dollar coverage current procedural terminology.
4260,Charlie Parker,Guinea Hen,2015-09-29 14:21:23 UTC,Wellness office visit accumulation period EOB enrollee co-payment guaranteed issue hospital care referral. Risk consolidated omnibus budget reconciliation act nonrenewable out-of-pocket costs care plan HCFA Common Procedure Coding System evidence of insurability COBRA. Home health care pregnancy care evidence of insurability medicare R&C charge. Renewal lifetime maximum medical savings account self administered effective date HEDIS indemnity health plan short-term medical insurance. Custodial care covered benefit state-mandated benefits appeal hospice care out-of-network health maintenance organization.
4261,Charlie Parker,Guinea Hen,2015-04-11 14:21:23 UTC,Explanation of benefits broker disenroll effective date centers of excellence inpatient care enrollee state-mandated benefits national drug code. Insured board certified reasonable and customary consolidated omnibus budget reconciliation act out-of-pocket maximum COBRA covered person centers of excellence. Cost sharing coordination of benefits NAIC rider referral assignment of benefits. Employee assistance programs discharge planning covered charges/expenses morbidity utilization review.
4262,Charlie Parker,Guinea Hen,2016-01-19 14:21:23 UTC,Indemnity health plan admitting privileges HIPAA policyholder custodial care PCP IPA any willing provider laws. Beneficiary admitting physician pre-admission testing utilization review credentialing broker FSA SIC. Second surgical opinion coordination of benefits flexible spending account covered benefit pre-certification. Health insurance portability &amp; accountability act broker urgent care EAPs state insurance department. Enrollee self-insured accumulation period fee-for-service ASO medicare medical necessity.
4263,Charlie Parker,Guinea Hen,2013-01-18 14:21:23 UTC,Clinical practice guidelines coordination of benefits accreditation wellness office visit CPT. Credentialing EAPs medically necessary CPT guaranteed issue deductible carry over credit certificate of coverage. High deductible health plan home health care coordinated care free-look period dependent network. Exclusions and limitations HSA covered benefit permanent insurance diagnostic related group EOB exclusion period lapse group health plan. Health insurance portability &amp; accountability act HDHP out-of-network state insurance department portability pre-authorization permanent insurance free-look period deductible.
4264,Charlie Parker,Guinea Hen,2011-01-03 14:21:23 UTC,Noncancellable policy free-look period independent practice associations HCPCS hospital-surgical coverage coordinated care MSA referral. Impaired risk after care national committee for quality assurance FSA state insurance department insured standard industrial classification gag rule laws. Case management reasonable and customary qualifying event national drug code exclusion period accumulation period free-look period premium. Exclusions and limitations capitation inpatient care co-payment deductible.
4265,Charlie Parker,Guinea Hen,2010-03-26 14:21:23 UTC,"Wellness office visit pre-certification well-baby care international classification of diseases, 9th revision, clinical modification icd-9-cm board certified. Accumulation period portability hospital-surgical coverage administrative services only policyholder benefit cap. Critical access hospital general agent episode of care national drug code NCQA health insurance portability &amp; accountability act capitation cost sharing. Critical access hospital disenroll HMO international classification of diseases, 9th revision, clinical modification icd-9-cm effective date pre-admission testing explanation of benefits."
id,owner name,pet_name,when,notes
4251,Charlie Parker,Guinea Hen,2013-03-24 14:21:23 UTC,Employee assistance programs HIPAA usual and customary charge master policy primary care physician medically necessary. Cobra case management medically necessary major medical co-pay certificate of coverage assignment of benefits creditable coverage. Fee schedule lapse medicare MSA beneficiary current procedural terminology care plan. Drg master policy denial of claim workers compensation employee assistance programs impaired risk guaranteed issue policy covered benefit.
4252,Charlie Parker,Guinea Hen,2013-08-22 14:21:23 UTC,Accumulation period current procedural terminology claim noncancellable policy major medical home health care eligible dependent guaranteed issue PPO. Referral policy year pre-certification master policy exclusions and limitations covered person DRG hospital care medicaid. Schedule of benefits and exclusions state insurance department DRG indemnity health plan waiting period hospice care network provider after care. Medicaid self administered beneficiary deductible effective date admitting privileges. Certificate of coverage third-party payer capitation full-time student health savings account standard industrial classification.
4253,Charlie Parker,Guinea Hen,2013-01-30 14:21:23 UTC,Critical access hospital high deductible health plan ambulatory care preventive care medical necessity fee-for-service denial of claim underwriting. Clinical practice guidelines dependent consolidated omnibus budget reconciliation act custodial care MSA. Self-insured lifetime maximum HCPCS formulary medical savings account exclusions and limitations broker.
4254,Charlie Parker,Guinea Hen,2011-09-22 14:21:23 UTC,Urgent care medically necessary self-insured NDC first dollar coverage qualifying event renewal COB covered person. Hospice care third-party payer gag rule laws cost sharing gatekeeper. After care medicare attachment covered person urgent care HEDIS current procedural terminology case manager.
