id,owner name,pet_name,when,notes
153,Nadia Hyatt,Squirrel,2013-03-14 14:20:58 UTC,Preventive care consolidated omnibus budget reconciliation act indemnity health plan utilization review morbidity. Custodial care CPT self-insured exclusion period preventive care. Capitation administrative services only exclusion period first dollar coverage hospital-surgical coverage concurrent review medicare supplement exclusions and limitations. Enrollee cost sharing beneficiary renewal well-baby care incurral date. Exclusion period fee schedule FSA self administered preferred provider organization.
154,Nadia Hyatt,Squirrel,2013-05-26 14:20:58 UTC,Medicare independent practice associations eligible dependent network provider cost sharing pre-existing condition. Hospital care reasonable and customary assignment of benefits COB R&C charge coordinated care permanent insurance. Premium full-time student preferred provider organization pre-admission testing impaired risk guaranteed issue noncancellable policy administrative services only. Designated facility PCP concurrent review medical savings account medicare supplement broker primary care physician co-payment.
155,Nadia Hyatt,Squirrel,2012-12-16 14:20:58 UTC,Third-party payer misrepresentation workers compensation benefit cap insured limited policy beneficiary medical necessity. Contract year gatekeeper COBRA flexible spending account NDC self administered consolidated omnibus budget reconciliation act pregnancy care health employer data and information set. Coordination of benefits NDC accumulation period COBRA major medical out-of-pocket costs medicare supplement evidence of insurability. Pre-admission review HCPCS managed care deductible carry over credit independent practice associations HCFA Common Procedure Coding System.
156,Nadia Hyatt,Squirrel,2015-10-11 14:20:58 UTC,Centers of excellence R&C charge employee assistance programs out-of-pocket maximum grievance. Denial of claim covered benefit health savings account hospital care guaranteed issue. Msa network hospital care case management PPO guaranteed issue co-payment.
157,Nadia Hyatt,Squirrel,2009-09-13 14:20:58 UTC,Care plan any willing provider laws HCFA Common Procedure Coding System diagnostic related group discharge planning coordination of benefits national drug code well-baby care medical necessity. Medicare supplement agent of record out-of-pocket costs benefit covered person clinical practice guidelines centers of excellence. Hsa medicaid preferred provider organization stop-loss provisions deductible carry over credit independent practice associations primary care physician provider incurral date. Special benefit networks centers of excellence explanation of benefits PCP current procedural terminology. Skilled nursing facility employee assistance programs prior authorization inpatient care PCP national committee for quality assurance.
158,Nadia Hyatt,Squirrel,2008-05-01 14:20:58 UTC,Hmo reasonable and customary eligible dependent guaranteed issue general agent high deductible health plan utilization review. Deductible ASO lapse NDC urgent care. Premium exclusions and limitations fee-for-service impaired risk eligible dependent admitting privileges network.
159,Nadia Hyatt,Squirrel,2008-09-29 14:20:58 UTC,Pregnancy care pre-admission testing deductible carry over credit gatekeeper clinical practice guidelines. Incurral date NAIC after care medical savings account independent practice associations admitting privileges short-term medical insurance. Health savings account case manager premium R&C charge utilization review deductible stop-loss provisions health maintenance organization. Defensive medicine denial of claim accreditation covered charges/expenses admitting privileges network evidence of insurability.
160,Nadia Hyatt,Squirrel,2012-08-07 14:20:58 UTC,Discharge planning benefit cap hospital care COBRA renewal wellness office visit. Discharge planning insured employee assistance programs ancillary services third-party payer. Co-insurance eligible expenses effective date reasonable and customary after care national committee for quality assurance.
161,Nadia Hyatt,Squirrel,2013-06-07 14:20:58 UTC,Medical necessity case management HRA self-insured care plan HDHP disenroll diagnostic related group denial of claim. Premium referral HEDIS high deductible health plan formulary. Portability concurrent review reasonable and customary case manager short-term medical insurance. Medical savings account HCPCS home health care denial of claim stop-loss provisions state-mandated benefits national association of insurance commissioners HRA DRG.
162,Nadia Hyatt,Squirrel,2009-08-24 14:20:58 UTC,Designated facility free-look period managed care pre-certification deductible service area medically necessary standard industrial classification premium. Cpt credentialing pre-admission testing creditable coverage reasonable and customary. Urgent care care plan appeal health reimbursement arrangement coordinated care service area diagnostic related group coordination of benefits case manager.
163,Nadia Hyatt,Squirrel,2011-02-27 14:20:58 UTC,Hospital care noncancellable policy usual and customary charge inpatient care policyholder appeal covered person. Out-of-network gag rule laws coordination of benefits COBRA medicare supplement underwriting. Out-of-pocket maximum COBRA formulary certificate of coverage noncancellable policy medical necessity. Wellness office visit case manager pre-admission testing effective date urgent care utilization review national association of insurance commissioners employee assistance programs policyholder.
164,Nadia Hyatt,Squirrel,2013-02-06 14:20:58 UTC,Premium policy year flexible benefit plan CPT preventive care NCQA. National association of insurance commissioners network provider reasonable and customary out-of-pocket maximum custodial care diagnostic related group. Staff model provider out-of-pocket costs inpatient care indemnity health plan credentialing national association of insurance commissioners state-mandated benefits limited policy. Staff model HSA health employer data and information set COB NCQA nonrenewable HEDIS health care provider national drug code. General agent guaranteed issue claim CPT IPA.
165,Nadia Hyatt,Squirrel,2008-12-17 14:20:58 UTC,Any willing provider laws EOB morbidity urgent care special benefit networks HIPAA waiting period. Hospice care covered charges/expenses usual and customary charge network fee-for-service formulary utilization review benefit. Msa accreditation out-of-pocket costs accumulation period fee-for-service standard industrial classification beneficiary administrative services only incurral date.
166,Nadia Hyatt,Squirrel,2015-01-18 14:20:58 UTC,National drug code portability urgent care board certified administrative services only major medical deductible carry over credit defensive medicine out-of-pocket maximum. Schedule of benefits and exclusions assignment of benefits network administrative services only cost sharing capitation misrepresentation out-of-pocket costs. Hospice care defensive medicine national committee for quality assurance beneficiary co-pay.
